title,artist,peakPos,rank
Peek A Boo,Lil Yachty Featuring Migos,78,89
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,9,49
Scared To Be Lonely,Martin Garrix & Dua Lipa,76,95
Don't Get Too High,Bryson Tiller,89,89
Me Enamore,Shakira,83,83
No Longer Friends,Bryson Tiller,98,98
Paris,The Chainsmokers,6,46
Run Me Dry,Bryson Tiller,91,91
Self-Made,Bryson Tiller,85,85
Somethin Tells Me,Bryson Tiller,74,74
Strangers,Halsey Featuring Lauren Jauregui,100,100
There For You,Martin Garrix x Troye Sivan,94,94
Any Ol' Barstool,Jason Aldean,52,100
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,60,87
Boy,Lee Brice,94,94
Chained To The Rhythm,Katy Perry Featuring Skip Marley,4,86
Deja Vu,Lauren Duski,43,43
Either Way,Chris Stapleton,89,97
Money On You,Chris Blue,66,66
The Dance,Lauren Duski,92,92
Both,Gucci Mane Featuring Drake,41,44
Bounce Back,Big Sean,6,50
Cake,Flo Rida & 99 Percent,73,96
Ghost In This House,Lauren Duski,98,98
Good Life,G-Eazy & Kehlani,59,90
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2,48
I Feel It Coming,The Weeknd Featuring Daft Punk,4,46
Love On The Brain,Rihanna,5,43
Prblms,6LACK,72,82
The Weekend,Brantley Gilbert,64,69
Yeah Boy,Kelsea Ballerini,65,84
Down,Marian Hill,21,100
Everybody,Logic,59,71
Galway Girl,Ed Sheeran,53,94
Moves,Big Sean,38,95
The Night We Met,Lord Huron,84,91
Call On Me,Starley,65,97
Can't Stop The Feeling!,Justin Timberlake,1,39
First Time,Kygo & Ellie Goulding,67,67
Party,Chris Brown Featuring Usher & Gucci Mane,40,80
Selfish,Future Featuring Rihanna,37,95
Sweet Creature,Harry Styles,93,93
XXX.,Kendrick Lamar Featuring U2,33,79
Yah.,Kendrick Lamar,32,89
You're Welcome,Dwayne Johnson,65,99
Deja Vu,J. Cole,7,100
Fear.,Kendrick Lamar,50,91
Feel.,Kendrick Lamar,35,69
God.,Kendrick Lamar,58,96
Green Light,Lorde,19,86
Hard Times,Paramore,90,90
How Far I'll Go,Auli'i Cravalho,41,89
Lust For Life,Lana Del Rey Featuring The Weeknd,64,64
Lust.,Kendrick Lamar,42,75
Mercy,Shawn Mendes,15,48
No Frauds,"Nicki Minaj, Drake & Lil Wayne",14,95
Pride.,Kendrick Lamar,37,71
Still Got Time,Zayn Featuring PARTYNEXTDOOR,66,81
Black SpiderMan,Logic Featuring Damian Lemar Hudson,87,87
Blood.,Kendrick Lamar,54,54
Dirt On My Boots,Jon Pardi,37,62
Duckworth.,Kendrick Lamar,63,63
Fast,Luke Bryan,58,85
Bar At The End Of The World,Kenny Chesney,92,92
Blem,Drake,38,84
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,6,46
Draco,Future,46,83
Fake Love,Drake,8,38
Free Smoke,Drake,18,72
How Far I'll Go,Alessia Cara,56,98
Play That Song,Train,41,70
Road Less Traveled,Lauren Alaina,67,77
Starboy,The Weeknd Featuring Daft Punk,1,39
Teenage Fever,Drake,35,91
The One,The Chainsmokers,78,78
Think A Little Less,Michael Ray,54,90
Bad Things,Machine Gun Kelly x Camila Cabello,4,50
Conscience,Kodak Black Featuring Future,93,93
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",96,96
Million Reasons,Lady Gaga,4,41
Sacrifices,Drake Featuring 2 Chainz & Young Thug,36,89
Speak To A Girl,Tim McGraw & Faith Hill,61,70
The Heart Part 4,Kendrick Lamar,22,85
Tin Man,Miranda Lambert,75,75
Water Under The Bridge,Adele,26,47
4422,Drake Featuring Sampha,50,82
Can't Have Everything,Drake,82,97
Do Not Disturb,Drake,60,86
Everyday,Ariana Grande Featuring Future,55,94
Get It Together,Drake Featuring Jorja Smith & Black Coffee,45,68
Glow,Drake Featuring Kanye West,54,89
Ice Melts,Drake Featuring Young Thug,62,85
Jorja Interlude,Drake,49,83
KMT,Drake Featuring Giggs,48,79
Madiba Riddim,Drake,51,84
No Long Talk,Drake Featuring Giggs,40,76
Nothings Into Somethings,Drake,61,99
Party Monster,The Weeknd,16,98
Kill A Word,Eric Church Featuring Rhiannon Giddens,71,96
Let Me Love You,DJ Snake Featuring Justin Bieber,4,47
Lose You,Drake,64,64
Make Me (Cry),Noah Cyrus Featuring Labrinth,46,73
Since Way Back,Drake Featuring PARTYNEXTDOOR,70,70
Skepta Interlude,Drake,76,76
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,97,97
Better Man,Little Big Town,34,62
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,40
Caroline,Amine,11,49
Chanel,Frank Ocean,72,72
Changed It,Nicki Minaj & Lil Wayne,71,71
Chantaje,Shakira Featuring Maluma,51,97
Comin Out Strong,Future Featuring The Weeknd,48,96
Dive,Ed Sheeran,49,85
Happier,Ed Sheeran,59,94
Heathens,twenty one pilots,2,45
I Got You,Bebe Rexha,43,82
Liability,Lorde,78,78
Regret In Your Tears,Nicki Minaj,61,61
Selfish,PnB Rock,51,90
Sober Saturday Night,Chris Young Featuring Vince Gill,47,86
Today,Brad Paisley,67,89
A Guy With A Girl,Blake Shelton,42,100
All Time Low,Jon Bellion,16,45
Barcelona,Ed Sheeran,96,96
Eraser,Ed Sheeran,90,90
Hearts Don't Break Around Here,Ed Sheeran,93,93
How Would You Feel (Paean),Ed Sheeran,41,84
New Man,Ed Sheeran,72,72
Side To Side,Ariana Grande Featuring Nicki Minaj,4,50
Star Of The Show,Thomas Rhett,45,99
Supermarket Flowers,Ed Sheeran,75,75
Used To This,Future Featuring Drake,14,91
What Do I Know?,Ed Sheeran,83,83
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,72,72
Love,Lana Del Rey,44,73
Love Me Now,John Legend,23,88
Make Love,Gucci Mane & Nicki Minaj,78,78
No Heart,21 Savage & Metro Boomin,43,77
Not Nice,PARTYNEXTDOOR,82,95
Treat You Better,Shawn Mendes,6,45
Broccoli,D.R.A.M. Featuring Lil Yachty,5,47
Dancing On My Own,Calum Scott,93,93
Guys My Age,Hey Violet,68,83
No Favors,Big Sean Featuring Eminem,22,97
Rent Money,Future,54,54
Seein' Red,Dustin Lynch,55,84
Super Trapper,Future,91,91
This Town,Niall Horan,20,48
Zoom,Future,99,99
Bom Bidi Bom,Nick Jonas & Nicki Minaj,54,54
Everything 1K,Kodak Black,84,84
Helium,Sia,71,71
Heroe Favorito,Romeo Santos,77,77
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,48
Sex With Me,Rihanna,83,95
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,97,97
Starving,Hailee Steinfeld & Grey Featuring Zedd,12,40
Wanna Be That Song,Brett Eldredge,46,90
Way Down We Go,Kaleo,54,81
80s Mercedes,Maren Morris,74,91
Bad Romance,Lady Gaga,2,50
Beauty And The Beast,Ariana Grande & John Legend,87,87
Cheap Thrills,Sia Featuring Sean Paul,1,32
Don't Let Me Down,The Chainsmokers Featuring Daya,3,44
Halfway Off The Balcony,Big Sean,74,74
HandClap,Fitz And The Tantrums,53,54
I Don't,Mariah Carey Featuring YG,89,89
Jump Out The Window,Big Sean,76,76
Kelly Price,Migos Featuring Travis Scott,58,100
Light,Big Sean Featuring Jeremih,97,97
Now & Later,Sage The Gemini,93,93
OTW,DJ Luke Nasty,71,96
Owe Me,Big Sean,86,86
Sacrifices,Big Sean Featuring Migos,70,70
The Greatest,Sia Featuring Kendrick Lamar,18,49
Alone,Marshmello,60,98
Blue Ain't Your Color,Keith Urban,24,42
Call Casting,Migos,62,62
Culture,Migos Featuring DJ Khaled,93,93
Dirty Laundry,Carrie Underwood,48,90
Fresh Eyes,Andy Grammer,59,91
Get Right Witcha,Migos,72,72
I'm Better,Missy Elliott Featuring Lamb,71,71
If The Boot Fits,Granger Smith,80,84
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,66,66
X,21 Savage & Metro Boomin Featuring Future,36,49
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,29,43
Cold Water,Major Lazer Featuring Justin Bieber & MO,2,48
Love On The Weekend,John Mayer,53,91
Running Back,Wale Featuring Lil Wayne,100,100
Say It,Flume Featuring Tove Lo,60,98
Sneakin',Drake Featuring 21 Savage,28,95
Song For Another Time,Old Dominion,59,96
Water,Ugly God,80,99
All We Know,The Chainsmokers Featuring Phoebe Ryan,18,93
Beibs In The Trap,Travis Scott,90,97
In The Name Of Love,Martin Garrix & Bebe Rexha,24,47
Just Hold On,Steve Aoki & Louis Tomlinson,52,96
My Sh*t,A Boogie Wit da Hoodie,86,100
Neighbors,J. Cole,13,84
Not Afraid Anymore,Halsey,77,77
Parachute,Chris Stapleton,78,90
Red Opps,21 Savage,74,78
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,86,86
You Was Right,Lil Uzi Vert,40,46
Drinkin' Too Much,Sam Hunt,89,89
I Hate U I Love U,gnash Featuring Olivia O'Brien,10,41
Immortal,J. Cole,11,97
May We All,Florida Georgia Line Featuring Tim McGraw,30,52
OOOUUU,Young M.A,19,39
Sleep Without You,Brett Young,47,75
What They Want,Russ,83,98
Hallelujah,Pentatonix,23,84
How I'll Always Be,Tim McGraw,70,70
Key To The Streets,YFN Lucci Featuring Migos & Trouble,70,97
Shaky Shaky,Daddy Yankee,88,88
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,50,50
Unsteady,X Ambassadors,20,39
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,93,98
Black Barbies,Nicki Minaj X Mike WiLL Made-It,65,97
Careless Whisper,Wham! Featuring George Michael,1,33
Faith,George Michael,1,47
Hate U Love U,Olivia O'Brien,99,99
No Flockin,Kodak Black,95,95
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,43,65
1 Night,Lil Yachty,49,67
Change,J. Cole,21,83
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27,57
Feliz Navidad,Jose Feliciano,44,44
Foldin Clothes,J. Cole,30,98
For Whom The Bell Tolls,J. Cole,23,93
Jingle Bell Rock,Bobby Helms,29,29
"Mary, Did You Know?",Pentatonix,26,45
She's Mine Pt.1,J. Cole,22,89
Sidewalks,The Weeknd Featuring Kendrick Lamar,27,97
Six Feet Under,The Weeknd,34,94
Ville Mentality,J. Cole,24,90
4 Your Eyez Only,J. Cole,29,29
At Last,Sundance Head,89,89
Come And See Me,PARTYNEXTDOOR Featuring Drake,55,63
Darlin' Don't Go,Sundance Head,67,67
Deja Vu,Post Malone Featuring Justin Bieber,75,77
Die For You,The Weeknd,43,93
Everybody Dies,J. Cole,57,57
False Prophets,J. Cole,54,54
Setting The World On Fire,Kenny Chesney Featuring P!nk,29,91
She's Mine Pt. 2,J. Cole,34,34
All I Know,The Weeknd Featuring Future,46,83
Attention,The Weeknd,67,96
False Alarm,The Weeknd,55,86
Home,gnash Featuring Johnny Yukon,76,76
Me And Your Mama,Childish Gambino,68,68
Middle Of A Memory,Cole Swindell,46,80
Needed Me,Rihanna,7,46
One Dance,Drake Featuring WizKid & Kyla,1,47
Ordinary Life,The Weeknd,72,97
Ride,twenty one pilots,5,40
Rockin',The Weeknd,44,82
Secrets,The Weeknd,47,66
That's My Girl,Fifth Harmony,73,84
This Is What You Came For,Calvin Harris Featuring Rihanna,3,36
Tiimmy Turner,Desiigner,34,61
True Colors,The Weeknd,48,78
A Little More Summertime,Jason Aldean,52,87
A Lonely Night,The Weeknd,69,69
Capsize,Frenship & Emily Warren,78,97
Distraction,Kehlani,85,85
Fade,Kanye West,47,96
Look Alive,Rae Sremmurd,72,94
Love To Lay,The Weeknd,71,71
Nothing Without You,The Weeknd,68,68
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,61,61
Ain't My Fault,Zara Larsson,76,76
Gold,Kiiara,13,41
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,95,96
Infinite,Eminem,97,97
Litty,Meek Mill Featuring Tory Lanez,49,89
Luv,Tory Lanez,19,46
Move,Luke Bryan,50,78
My Way,Calvin Harris,24,74
Panda,Desiigner,1,44
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,77,90
Slumber Party,Britney Spears Featuring Tinashe,86,86
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",15,42
Vice,Miranda Lambert,47,88
Hallelujah,Leonard Cohen,59,59
It Don't Hurt Like It Used To,Billy Currington,44,91
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,43,43
Send My Love (To Your New Lover),Adele,8,39
Setting Fires,The Chainsmokers Featuring XYLO,71,86
Shout Out To My Ex,Little Mix,69,95
Too Good,Drake Featuring Rihanna,14,48
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,9,49
We The People....,A Tribe Called Quest,77,77
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",77,98
All Eyez,The Game Featuring Jeremih,79,93
Gangsta,Kehlani,41,100
Hold Up,Beyonce,13,99
I Know Somebody,LOCASH,52,92
Money Longer,Lil Uzi Vert,54,62
No Limit,Usher Featuring Young Thug,32,69
"Sit Still, Look Pretty",Daya,28,38
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,66,95
Blessed Up,Meek Mill,97,97
Blue Notes,Meek Mill,93,93
Cool Girl,Tove Lo,84,100
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,68,68
Hymn For The Weekend,Coldplay,25,41
Offended,Meek Mill Featuring Young Thug & 21 Savage,70,70
On The Regular,Meek Mill,75,75
The Difference,Meek Mill Featuring Quavo,84,84
"Two Birds, One Stone",Drake,73,73
A-YO,Lady Gaga,66,66
Controlla,Drake,16,49
CRZY,Kehlani,85,94
Into You,Ariana Grande,13,45
Lockjaw,French Montana Featuring Kodak Black,73,96
Perfect Illusion,Lady Gaga,15,78
This Girl,Kungs vs Cookin' On 3 Burners,26,88
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,62,91
You & Me,Marc E. Bassy Featuring G-Eazy,58,97
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,24,89
Blow Your Mind (Mwah),Dua Lipa,72,72
Different For Girls,Dierks Bentley Featuring Elle King,42,83
For Free,DJ Khaled Featuring Drake,13,47
I Got The Keys,DJ Khaled Featuring Jay Z & Future,30,96
I Met A Girl,William Michael Morgan,60,94
Rock On,Tucker Beathard,62,91
THat Part,ScHoolboy Q Featuring Kanye West,40,86
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4,49
Cranes In The Sky,Solange,74,99
Father Stretch My Hands Pt. 1,Kanye West,37,60
Forever Country,"Artists Of Then, Now & Forever",21,97
Just Like Fire,P!nk,10,50
Kids,OneRepublic,96,96
Peter Pan,Kelsea Ballerini,35,94
You Don't Own Me,Grace Featuring G-Eazy,57,61
Don't Touch My Hair,Solange Featuring Sampha,91,91
LIFTED,CL,94,94
Low Life,Future Featuring The Weeknd,18,49
Make You Miss Me,Sam Hunt,45,86
H.O.L.Y.,Florida Georgia Line,14,50
I Took A Pill In Ibiza,Mike Posner,4,46
Mama Said,Lukas Graham,36,73
Me Too,Meghan Trainor,13,75
Never Be Like You,Flume Featuring Kai,20,48
No Shopping,French Montana Featuring Drake,36,100
Purple Lamborghini,Skrillex & Rick Ross,33,96
With You Tonight / Hasta El Amanecer,Nicky Jam,73,97
Work,Rihanna Featuring Drake,1,45
You Look Like I Need A Drink,Justin Moore,79,99
7 Years,Lukas Graham,2,46
Cancer,twenty one pilots,91,91
Grass Ain't Greener,Chris Brown,71,96
My PYT,Wale,54,92
American Country Love Song,Jake Owen,55,90
Childs Play,Drake,49,87
Don't Mind,Kent Jones,8,58
Make Me...,Britney Spears Featuring G-Eazy,17,76
Rise,Katy Perry,11,72
She's Got A Way With Words,Blake Shelton,61,79
Stressed Out,twenty one pilots,2,38
Famous,Kanye West,34,100
From The Ground Up,Dan + Shay,48,75
Kill Em With Kindness,Selena Gomez,39,89
Sorry,Beyonce,11,65
Cake By The Ocean,DNCE,9,47
Church Bells,Carrie Underwood,43,99
Duele El Corazon,Enrique Iglesias Featuring Wisin,82,98
Record Year,Eric Church,44,91
Wicked,Future,41,86
Wyclef Jean,Young Thug,87,87
Ivy,Frank Ocean,80,80
Love Yourself,Justin Bieber,1,48
Nights,Frank Ocean,98,98
Nikes,Frank Ocean,79,79
Pink + White,Frank Ocean,84,84
Solo,Frank Ocean,96,96
Castaway,Zac Brown Band,96,96
Fix,Chris Lane,65,82
Hit Or Miss,Jacob Sartorius,72,81
Lights Come On,Jason Aldean,43,89
No Money,Galantis,88,97
Pop Style,Drake Featuring The Throne,16,86
Toothbrush,DNCE,44,85
Uber Everywhere,MadeinTYO,51,77
Wasted Time,Keith Urban,51,99
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",27,68
Bohemian Rhapsody,Panic! At The Disco,64,64
Close,Nick Jonas Featuring Tove Lo,14,73
Head Over Boots,Jon Pardi,51,53
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,37,95
Let It Go,James Bay,16,49
Sorry,Justin Bieber,1,50
Wake Up,Fetty Wap,50,92
Brand New,Ben Rector,82,87
Dangerous Woman,Ariana Grande,8,48
Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",84,84
Lush Life,Zara Larsson,75,75
My House,Flo Rida,4,44
Wherever I Go,OneRepublic,55,91
Back On Road,Gucci Mane & Drake,81,81
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,73,98
P**** Print,Gucci Mane Featuring Kanye West,89,89
Body,Dreezy Featuring Jeremih,62,99
Body Say,Demi Lovato,84,84
Girls Talk Boys,5 Seconds Of Summer,68,68
Lost Boy,Ruth B,24,43
M.I.L.F. $,Fergie,34,86
Never Forget You,Zara Larsson & MNEK,13,49
Night's On Fire,David Nail,81,88
No,Meghan Trainor,3,85
Ophelia,The Lumineers,66,94
Bored To Death,Blink-182,85,92
Came Here To Forget,Blake Shelton,36,90
La Bicicleta,Carlos Vives & Shakira,95,95
Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,72,72
"Me, Myself & I",G-Eazy x Bebe Rexha,7,49
Noise,Kenny Chesney,72,84
Pillowtalk,Zayn,1,48
T-Shirt,Thomas Rhett,41,68
Cut It,O.T. Genasis Featuring Young Dolph,35,40
Flexicution,Logic,100,100
Hype,Drake,33,97
Messin' Around,Pitbull Featuring Enrique Iglesias,64,88
Oui,Jeremih,19,49
Still Here,Drake,40,95
The Sound Of Silence,Disturbed,42,79
Wild Things,Alessia Cara,50,77
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",71,98
Dark Necessities,Red Hot Chili Peppers,67,100
Grammys,Drake Featuring Future,38,91
Really Really,Kevin Gates,46,50
Think Of You,Chris Young Duet With Cassadee Pope,40,87
Try Everything,Shakira,63,92
2 Phones,Kevin Gates,17,45
Ain't No Stopping Us Now,Kane Brown,88,88
Humble And Kind,Tim McGraw,30,52
Kiss It Better,Rihanna,62,99
What The World Needs Now Is Love,Broadway For Orlando,86,86
Exchange,Bryson Tiller,26,46
Faded,Alan Walker,80,100
Might Not,Belly Featuring The Weeknd,68,96
Somewhere On A Beach,Dierks Bentley,35,58
Sweatshirt,Jacob Sartorius,90,90
With You,Drake Featuring PARTYNEXTDOOR,47,93
Feel No Ways,Drake,53,91
Formation,Beyonce,10,88
Law,Yo Gotti Featuring E-40,79,94
Middle,DJ Snake Featuring Bipolar Sunshine,20,49
Mind Reader,Dustin Lynch,57,87
Moolah,Young Greatness,85,98
My Church,Maren Morris,50,56
Nothing Is Promised,Mike WiLL Made-It x Rihanna,75,75
Piece By Piece,Kelly Clarkson,8,95
Snapback,Old Dominion,50,70
Youth,Troye Sivan,23,100
9,Drake,45,87
If It Ain't Love,Jason Derulo,67,84
My Boo,Ghost Town DJ's,27,47
Down That Road,Alisan Porter,100,100
Every Breath You Take,Hannah Huston,94,94
Fire & Desire,Drake,75,85
Lonesome Broken And Blue,Adam Wakefield,73,73
One Call Away,Charlie Puth,12,46
Redemption,Drake,61,95
U With Me?,Drake,44,82
Blessings,Chance The Rapper Featuring Ty Dolla $ign,93,93
Don't,Bryson Tiller,13,49
Faithful,Drake Featuring Pimp C & dvsn,72,90
I'm Sorry,Adam Wakefield,94,94
Keep The Family Close,Drake,68,85
Promise,Kid Ink Featuring Fetty Wap,57,100
Roses,The Chainsmokers Featuring Rozes,6,48
Stitches,Shawn Mendes,4,41
Weston Road Flows,Drake,54,84
6 Inch,Beyonce Featuring The Weeknd,18,82
Ain't Your Mama,Jennifer Lopez,76,76
Confession,Florida Georgia Line,53,97
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,70,70
I Like The Sound Of That,Rascal Flatts,52,95
Team,Iggy Azalea,42,99
All Night,Beyonce,38,64
Daddy Lessons,Beyonce,41,66
Don't Hurt Yourself,Beyonce Featuring Jack White,28,37
Freedom,Beyonce Featuring Kendrick Lamar,35,65
Love Drought,Beyonce,47,73
Pray You Catch Me,Beyonce,37,70
Sandcastles,Beyonce,43,71
Summer Sixteen,Drake,6,89
True Colors,Zedd & Kesha,74,74
Views,Drake,86,86
1999,Prince,12,27
Acquainted,The Weeknd,60,92
Back To Sleep,Chris Brown,20,70
Company,Justin Bieber,53,91
Forward,Beyonce Featuring James Blake,63,63
I Would Die 4 U,Prince And The Revolution,8,39
Jumpman,Drake & Future,12,49
Kiss,Prince And The Revolution,1,23
Let's Go Crazy,Prince And The Revolution,1,25
Little Red Corvette,Prince,6,20
New Level,A$AP Ferg Featuring Future,90,90
Purple Rain,Prince And The Revolution,2,4
Raspberry Beret,Prince And The Revolution,2,33
That Don't Sound Like You,Lee Brice,64,99
When Doves Cry,Prince,1,8
You Should Be Here,Cole Swindell,31,72
Down In The DM,Yo Gotti Featuring Nicki Minaj,13,40
Drunk On Your Love,Brett Eldredge,35,83
Fast Car,Jonas Blue Featuring Dakota,98,100
Hands To Myself,Selena Gomez,7,35
Hello,Adele,1,36
Jimmy Choo,Fetty Wap,65,98
Let Me Love You,Ariana Grande Featuring Lil Wayne,99,99
Little Bit Of You,Chase Bryant,71,88
Might Be,DJ Luke Nasty,78,92
New Romantics,Taylor Swift,46,78
Pt. 2,Kanye West,54,97
Saved,Ty Dolla $ign Featuring E-40,81,87
The Hills,The Weeknd,1,48
Die A Happy Man,Thomas Rhett,21,45
Nobody To Blame,Chris Stapleton,68,80
Sugar,Robin Schulz Featuring Francesco Yates,44,88
Ultralight Beam,Kanye West,67,90
Victorious,Panic! At The Disco,89,96
Waves,Kanye West,71,86
Beautiful Drug,Zac Brown Band,52,94
Best Friend,Young Thug,45,76
Feedback,Kanye West,99,99
FML,Kanye West,84,84
Heartbeat,Carrie Underwood,42,95
Hotline Bling,Drake,2,50
Real Friends,Kanye West,92,92
Tennessee Whiskey,Chris Stapleton,20,90
When We Were Young,Adele,14,70
679,Fetty Wap Featuring Remy Boyz,4,40
Digits,Young Thug,93,93
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,38,90
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,20,86
Like I Would,Zayn,55,73
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,8,46
Make Me Like You,Gwen Stefani,54,100
Say It,Tory Lanez,23,42
Something In The Way You Move,Ellie Goulding,43,96
Stand By You,Rachel Platten,37,75
What Do You Mean?,Justin Bieber,1,41
White Iverson,Post Malone,14,49
With Them,Young Thug,87,87
Adventure Of A Lifetime,Coldplay,13,76
Backroad Song,Granger Smith,49,94
Be Alright,Ariana Grande,43,43
Ex's & Oh's,Elle King,10,49
Here,Alessia Cara,5,47
Hide Away,Daya,23,46
In The Night,The Weeknd,12,52
Same Old Love,Selena Gomez,5,48
Something New,Zendaya Featuring Chris Brown,93,97
Sorry Not Sorry,Bryson Tiller,67,99
Break On Me.,Keith Urban,54,99
Can't Feel My Face,The Weeknd,1,50
We Went,Randy Houser,60,91
Get Ugly,Jason Derulo,52,97
Gotta Lotta,2 Chainz Featuring Lil Wayne,100,100
Untitled 02 l 06.23.2014.,Kendrick Lamar,79,79
Untitled 07 l Levitate,Kendrick Lamar,90,90
Watch Out,2 Chainz,64,91
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,71,89
Antidote,Travis Scott,16,47
Hello Friday,Flo Rida Featuring Jason Derulo,79,79
History,One Direction,65,100
It's You,Zayn,59,59
Lean On,Major Lazer & DJ Snake Featuring MO,4,48
Perfect,One Direction,10,87
See You Again,Wiz Khalifa Featuring Charlie Puth,1,49
Til It Happens To You,Lady Gaga,95,95
Walking On A Dream,Empire Of The Sun,65,99
Dibs,Kelsea Ballerini,58,69
Hollow,Tori Kelly,68,84
I Love This Life,LOCASH,56,99
Look At My Dab,Migos,87,87
